National Center for Education Statistics
Computation by NCES PowerStats Version 1.0 on 3/25/2016
"Variance estimation method: BRR"
"Annualized salary for primary job in 2012 with (percent >.01), Annualized salary for primary job in 2012 0, Annualized salary for current job in 2009 with (percent >.01), Annualized salary for current job in 2009 0 by Gender, Job in 2012 related to bachelor's degree major, Occupation for primary job in 2012, Employment and enrollment status in 2012, Annualized salary for primary job in 2012, Annualized total salary for all jobs in 2012 and Annualized salary for current job in 2009."
" "

" ","Annualized salary for primary job in 2012
(%>0.01)"," ","Annualized salary for primary job in 2012
(Avg)"," ","Annualized salary for current job in 2009
(%>0.01)"," ","Annualized salary for current job in 2009
(Avg)"," "
"  Part time, one job, not enrolled",97.9965,[95.62350-99.09502],20593.8438,[18655.17188-22532.51562],79.5865,[74.09048-84.16580],20894.9629,[17954.25000-23835.67578]
"  Multiple jobs, enrolled",100.0000,[NaN-NaN],28352.0703,[21225.11328-35479.02734],89.2634,[73.12576-96.21248],22429.7324,[15546.54395-29312.92188]
"  Multiple jobs, not enrolled",100.0000,100.0000,34085.1055,[31004.01953-37166.19141],89.8470,[85.03102-93.23673],27110.9375,[24711.67383-29510.20117]
"  Unemployed, enrolled",71.4454,[58.37782-81.69661],20281.6387,[16184.52734-24378.75000],69.3873,[57.36698-79.24474],20386.7871,[15676.70898-25096.86523]
"  Unemployed, not enrolled",77.9337,[71.85390-83.01080],22761.8809,[20163.14844-25360.61328],69.2959,[63.38431-74.63503],17776.4863,[15585.80664-19967.16602]
"  Out of the labor force, enrolled",76.9703,[69.89211-82.79412],20792.9570,[18118.00000-23467.91406],74.5574,[67.28053-80.68063],19415.7637,[16749.38281-22082.14453]
"  Out of the labor force, not enrolled",67.8123,[62.24324-72.91738],21282.2246,[18553.78125-24010.66797],68.8003,[63.64857-73.52555],20569.9277,[18419.45508-22720.40039]
"  {Skipped}",‡,‡,‡,‡,‡,‡,‡,‡
" "
"Annualized salary for primary job in 2012"
"  $1-15,599",100.0000,[99.99999-99.99999],8959.2676,[8570.46777-9348.06738],74.4043,[70.12164-78.26332],15503.9424,[13833.96875-17173.91602]
"  $15,600-26,999",100.0000,100.0000,21708.4629,[21407.13281-22009.79297],83.6894,[80.40318-86.51700],17979.9531,[16834.00195-19125.90430]
"  $27,000-39,999",100.0000,[NaN-NaN],33391.1992,[33183.72266-33598.67578],86.8270,[84.39159-88.93227],23658.3418,[22666.51367-24650.16992]
"  $40,000-75,999",100.0000,100.0000,52211.9531,[51648.33984-52775.56641],90.2012,[88.25887-91.85195],33444.6758,[32369.75781-34519.59375]
"  76,000 or more",100.0000,[99.99999-99.99999],100521.1328,[94411.66406-106630.60156],88.7676,[84.53056-91.95454],51211.3203,[46764.14062-55658.50000]
" "
"Annualized total salary for all jobs in 2012"
"  $1-20,899",97.8854,[95.32823-99.05674],13761.8594,[12858.92969-14664.78906],77.7147,[72.97681-81.82877],16611.1426,[14798.38086-18423.90430]
"  $20,900-31,199",98.3274,[96.22820-99.26720],25602.1719,[25010.74023-26193.60352],89.3473,[86.49036-91.65836],20987.1738,[19785.25586-22189.09180]
"  $31,200-42,999",98.9798,[98.12002-99.44860],34952.0391,[34417.84375-35486.23438],88.1637,[85.26266-90.55687],24040.7754,[23017.88086-25063.66992]
"  $43,000-59,999",98.1552,[96.89866-98.90842],47316.6992,[46517.29688-48116.10156],89.8494,[87.62602-91.71110],31431.1895,[30162.19922-32700.17969]
"  $60,000-79,499",99.0705,[97.76459-99.61653],64966.3594,[63785.19531-66147.52344],90.8632,[87.15662-93.57890],42386.8086,[39974.25391-44799.36328]
"  $79,500 or more",99.4036,[97.69599-99.84760],98729.6250,[91572.50000-105886.75000],88.8708,[83.74120-92.52644],50767.0039,[45828.98438-55705.02344]
" "
"Annualized salary for current job in 2009"
"  $1-27,456",95.5804,[94.32894-96.56572],29480.3652,[28571.61719-30389.11328],100.0000,[99.99999-99.99999],16833.3477,[16443.36719-17223.32812]
"  $27,457-36,000",95.7987,[93.94448-97.10264],37904.2344,[36008.36719-39800.10156],100.0000,100.0000,32044.8809,[31856.22266-32233.53906]
"  $36,001-49,200",94.8608,[93.05005-96.21890],46216.6836,[44329.37109-48103.99609],100.0000,[NaN-NaN],41679.1484,[41403.48828-41954.80859]
"  $49,201 or more",96.7976,[94.68212-98.08854],63812.5234,[60965.87891-66659.16406],100.0000,100.0000,63613.2188,[61706.76172-65519.67578]
" "
" "
" "
‡ Reporting standards not met. 
# Rounds to zero.
"! Interpret data with caution. Estimate is unstable because the standard error represents more than 30 percent of the estimate."
"!! Interpret data with caution. Estimate is unstable because the standard error represents more than 50 percent of the estimate."
"The names of the variables used in this table are: B2CJOCC33, B2DNSF19B, B2CJSAL, GENDER, B2INC12, B2LFP12 and B1ERNINC. "
"The weight variable used in this table is WTE000."
"Source: U.S. Department of Education, National Center for Education Statistics, 2008/12 Baccalaureate and Beyond Longitudinal Study (B&B:08/12)."

